Cow,Action,Amount,ID0,Card0,Money0,Wager0,Alive0,ID1,Card1,Money1,Wager1,Alive1,ID2,Card2,Money2,Wager2,Alive2,ID3,Card3,Money3,Wager3,Alive3,ID4,Card4,Money4,Wager4,Alive4,ID5,Card5,Money5,Wager5,Alive5
3,FOLD,0,0,0,0,0,0,1,1,3990,4,1,2,7,996,8,1,3,0,1013,4,1,4,0,0,0,0,5,0,0,0,0
1,CALL,0,0,0,0,0,0,1,0,3990,4,1,2,7,996,8,1,3,0,1013,4,0,4,0,0,0,0,5,0,0,0,0
2,CALL,0,0,0,0,0,0,1,10,3982,4,1,2,0,1008,4,1,3,1,1009,4,1,4,0,0,0,0,5,0,0,0,0
3,CALL,0,0,0,0,0,0,1,10,3982,4,1,2,12,1008,4,1,3,0,1009,4,1,4,0,0,0,0,5,0,0,0,0
1,CALL,0,0,0,0,0,0,1,0,3982,4,1,2,12,1008,4,1,3,1,1009,4,1,4,0,0,0,0,5,0,0,0,0
3,CALL,0,0,0,0,0,0,1,12,3978,4,1,2,7,1016,4,1,3,0,1005,4,1,4,0,0,0,0,5,0,0,0,0
1,CALL,0,0,0,0,0,0,1,0,3978,4,1,2,7,1016,4,1,3,10,1005,4,1,4,0,0,0,0,5,0,0,0,0
2,CALL,0,0,0,0,0,0,1,12,3978,4,1,2,0,1016,4,1,3,10,1005,4,1,4,0,0,0,0,5,0,0,0,0
1,CALL,0,0,0,0,0,0,1,0,3986,4,1,2,8,1012,4,1,3,10,1001,4,1,4,0,0,0,0,5,0,0,0,0
2,CALL,0,0,0,0,0,0,1,2,3986,4,1,2,0,1012,4,1,3,10,1001,4,1,4,0,0,0,0,5,0,0,0,0
3,CALL,0,0,0,0,0,0,1,2,3986,4,1,2,8,1012,4,1,3,0,1001,4,1,4,0,0,0,0,5,0,0,0,0
2,CALL,0,0,0,0,0,0,1,10,3982,4,1,2,0,1008,4,1,3,11,1009,4,1,4,0,0,0,0,5,0,0,0,0
3,CALL,0,0,0,0,0,0,1,10,3982,4,1,2,6,1008,4,1,3,0,1009,4,1,4,0,0,0,0,5,0,0,0,0
1,CALL,0,0,0,0,0,0,1,0,3982,4,1,2,6,1008,4,1,3,11,1009,4,1,4,0,0,0,0,5,0,0,0,0
3,CALL,0,0,0,0,0,0,1,2,3978,8,1,2,12,1004,8,1,3,0,1017,8,1,4,0,0,0,0,5,0,0,0,0
1,CALL,0,0,0,0,0,0,1,0,3978,8,1,2,12,1004,8,1,3,6,1017,8,1,4,0,0,0,0,5,0,0,0,0
2,CALL,0,0,0,0,0,0,1,2,3978,8,1,2,0,1004,8,1,3,6,1017,8,1,4,0,0,0,0,5,0,0,0,0
1,CALL,0,0,0,0,0,0,1,0,3970,8,1,2,3,1020,8,1,3,13,1009,8,1,4,0,0,0,0,5,0,0,0,0
2,CALL,0,0,0,0,0,0,1,1,3970,8,1,2,0,1020,8,1,3,13,1009,8,1,4,0,0,0,0,5,0,0,0,0
3,WAGER,16,0,0,0,0,0,1,1,3970,8,1,2,3,1020,8,1,3,0,1009,8,1,4,0,0,0,0,5,0,0,0,0
1,CALL,0,0,0,0,0,0,1,0,3970,8,1,2,3,1020,8,1,3,13,1009,16,1,4,0,0,0,0,5,0,0,0,0
2,FOLD,0,0,0,0,0,0,1,1,3970,16,1,2,0,1020,8,1,3,13,1009,16,1,4,0,0,0,0,5,0,0,0,0
2,CALL,0,0,0,0,0,0,1,13,3954,8,1,2,0,1012,8,1,3,5,1033,8,1,4,0,0,0,0,5,0,0,0,0
3,CALL,0,0,0,0,0,0,1,13,3954,8,1,2,11,1012,8,1,3,0,1033,8,1,4,0,0,0,0,5,0,0,0,0
1,CALL,0,0,0,0,0,0,1,0,3954,8,1,2,11,1012,8,1,3,5,1033,8,1,4,0,0,0,0,5,0,0,0,0
3,CALL,0,0,0,0,0,0,1,12,3970,8,1,2,6,1004,8,1,3,0,1025,8,1,4,0,0,0,0,5,0,0,0,0
1,CALL,0,0,0,0,0,0,1,0,3970,8,1,2,6,1004,8,1,3,6,1025,8,1,4,0,0,0,0,5,0,0,0,0
2,CALL,0,0,0,0,0,0,1,12,3970,8,1,2,0,1004,8,1,3,6,1025,8,1,4,0,0,0,0,5,0,0,0,0
1,CALL,0,0,0,0,0,0,1,0,3986,8,1,2,4,996,8,1,3,1,1017,8,1,4,0,0,0,0,5,0,0,0,0
2,CALL,0,0,0,0,0,0,1,7,3986,8,1,2,0,996,8,1,3,1,1017,8,1,4,0,0,0,0,5,0,0,0,0
3,CALL,0,0,0,0,0,0,1,7,3986,8,1,2,4,996,8,1,3,0,1017,8,1,4,0,0,0,0,5,0,0,0,0
2,CALL,0,0,0,0,0,0,1,4,4002,16,1,2,0,988,16,1,3,6,1009,16,1,4,0,0,0,0,5,0,0,0,0
3,CALL,0,0,0,0,0,0,1,4,4002,16,1,2,10,988,16,1,3,0,1009,16,1,4,0,0,0,0,5,0,0,0,0
1,CALL,0,0,0,0,0,0,1,0,4002,16,1,2,10,988,16,1,3,6,1009,16,1,4,0,0,0,0,5,0,0,0,0
3,CALL,0,0,0,0,0,0,1,8,3986,16,1,2,5,1020,16,1,3,0,993,16,1,4,0,0,0,0,5,0,0,0,0
1,CALL,0,0,0,0,0,0,1,0,3986,16,1,2,5,1020,16,1,3,1,993,16,1,4,0,0,0,0,5,0,0,0,0
2,CALL,0,0,0,0,0,0,1,8,3986,16,1,2,0,1020,16,1,3,1,993,16,1,4,0,0,0,0,5,0,0,0,0
1,CALL,0,0,0,0,0,0,1,0,4018,16,1,2,4,1004,16,1,3,11,977,16,1,4,0,0,0,0,5,0,0,0,0
2,CALL,0,0,0,0,0,0,1,1,4018,16,1,2,0,1004,16,1,3,11,977,16,1,4,0,0,0,0,5,0,0,0,0
